NUMERO;AGE;SEXE;METIER;CODEW0;COMVIN;CERTIF
2964;66;1;1;40;0;0
2973;67;0;7;43;2;1
2975;69;1;0;31;1;0
2983;76;0;6;24;2;1
3010;76;0;2;19;2;0
3017;80;1;2;23;0;1
3019;68;1;2;28;1;0
3022;67;0;6;43;2;1
3029;74;1;3;37;1;0
3044;68;1;4;30;1;0
3045;70;1;0;42;0;1
3052;67;0;7;59;2;1
3075;68;0;5;23;2;0
3077;75;1;2;28;1;0
3100;67;1;5;25;0;0
3137;66;0;7;51;0;1
3138;70;0;7;31;0;1
5007;71;0;7;55;1;1
5008;65;0;7;70;2;0
5018;85;1;0;25;1;0
5019;69;1;4;22;0;0
5029;78;1;4;20;0;0
5040;73;0;7;30;1;1
5043;66;0;7;56;1;1
5050;79;1;4;17;0;0
5054;73;1;6;34;1;0
5058;69;0;3;25;0;0
5072;69;1;3;26;0;0
5078;78;0;5;30;1;0
5079;71;1;1;28;0;0
5081;68;1;6;30;0;1
5084;66;0;6;50;1;1
5091;66;1;4;36;0;0
5094;77;0;6;24;0;0
5099;76;0;4;29;1;0
5113;65;1;6;35;0;1
5114;78;1;5;28;1;1
5115;72;0;4;15;1;0
5117;69;0;6;24;2;1
5119;76;0;4;22;2;0
5123;75;1;6;16;1;0
5129;83;0;7;55;1;1
5130;65;0;7;58;0;0
5131;69;1;3;30;0;0
5140;67;1;2;28;0;1
5142;71;1;0;24;0;0
5156;68;0;6;22;1;1
5158;66;1;3;36;0;0
5160;70;0;6;56;1;1
5161;71;0;4;43;2;1
5166;71;1;4;30;1;0
